Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs,Year,Licensee ABN,Licensee ACN,Licensee Type
LIQH400120192,Liquor - hotel licence,1960-08-29 00:00:00,Current,2018-06-28 00:00:00,Trading,Court House Hotel,232 Peel St,TAMWORTH,2340.0,-31.087469,150.927496,Tamworth Regional,,Country,HARVEST PUB OPERATIONS PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Tamworth - North,No,2.0,19,0,19,0,19,19,2022,,,
LIQH400102410,Liquor - hotel licence,1960-08-15 00:00:00,Current,1960-08-15 00:00:00,Trading,Avondale Hotel,Burwood Rd & Railway Cres,BURWOOD,2134.0,-33.876761,151.103574,Burwood,,Metropolitan,Mark Duggan,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Burwood - Croydon,No,2.0,19,11,30,0,30,30,2022,,,
LIQH400104057,Liquor - hotel licence,1960-08-08 00:00:00,Current,1960-08-08 00:00:00,Trading,Sheraton Grand Sydney Hyde Park,161 Elizabeth St,SYDNEY,2000.0,-33.871587,151.209721,Sydney,Sydney CBD Precinct,Metropolitan,Krister Svensson,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400102038,Liquor - hotel licence,1960-08-03 00:00:00,Current,1960-08-03 00:00:00,Trading,The Arthouse Hotel,275 Pitt St,SYDNEY,2000.0,-33.872308,151.207591,Sydney,Sydney CBD Precinct,Metropolitan,Brian Sarkis,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,21,0,21,0,21,21,2022,,,
LIQH400103522,Liquor - hotel licence,1960-08-03 00:00:00,Current,1960-08-03 00:00:00,Trading,The Mill Hotel (Milperra),189-191 Beaconsfield St,MILPERRA,2214.0,-33.942862,150.998059,Canterbury-Bankstown,,Metropolitan,Marlow Investments (No 3) Pty Limited,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Condell Park,Yes,3.0,26,0,26,0,26,26,2022,,,
LIQH400105541,Liquor - hotel licence,1960-08-03 00:00:00,Current,1960-08-03 00:00:00,Trading,Golden Tiger Bar,330-332 Forest Road,HURSTVILLE,2220.0,-33.966128,151.102004,Georges River,,Metropolitan,Bhuchida Sae-lee,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Hurstville,No,2.0,25,5,30,0,30,30,2022,,,
LIQH400120672,Liquor - hotel licence,1960-07-27 00:00:00,Current,1960-07-27 00:00:00,Trading,Canley Heights Hotel,272-276 Canley Vale Rd,CANLEY HEIGHTS,2166.0,-33.883979,150.924742,Fairfield,,Metropolitan,The trustee for Lewis Hotels (Canley Heights) Property Trust,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Canley Vale - Canley Heights,Yes,3.0,17,8,25,0,25,25,2022,,,
LIQH400102518,Liquor - hotel licence,1960-07-25 00:00:00,Current,1960-07-25 00:00:00,Trading,Gladstone Hotel,572 Marrickville Rd,DULWICH HILL,2203.0,-33.903582,151.142327,Inner West,,Metropolitan,John McGurk,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Dulwich Hill - Lewisham,No,1.0,28,1,29,0,29,28,2022,,,
LIQH400106467,Liquor - hotel licence,1960-07-25 00:00:00,Current,1960-07-25 00:00:00,Trading,Bar Broadway,2 Broadway,CHIPPENDALE,2008.0,-33.884275,151.202087,Sydney,,Metropolitan,WLWCM PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Redfern - Chippendale,No,2.0,15,13,28,0,28,28,2022,,,
LIQH400118023,Liquor - hotel licence,1960-07-19 00:00:00,Current,1960-07-19 00:00:00,Trading,Seven Seas Hotel,149 Hill St,CARRINGTON,2294.0,-32.915595,151.766875,Newcastle,,Metropolitan,Sam Cruikshank,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Wickham - Carrington - Tighes Hill,No,2.0,24,0,24,0,24,19,2022,,,
LIQH400103220,Liquor - hotel licence,1960-07-18 00:00:00,Current,1960-07-18 00:00:00,Trading,Glenquarie Tavern,Cnr Victoria Rd & Harold St,MACQUARIE FIELDS,2564.0,-33.986046,150.892637,Campbelltown,,Metropolitan,Jamii-Leigh O'Sullivan,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Macquarie Fields - Glenfield,No,2.0,30,0,30,0,30,30,2022,,,
LIQH400103662,Liquor - hotel licence,1960-07-11 00:00:00,Current,1960-07-11 00:00:00,Trading,Macquarie Hotel Liverpool,269 Macquarie St,LIVERPOOL,2170.0,-33.924036,150.92304,Liverpool,,Metropolitan,Sean MCDOWELL,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Liverpool,Yes,3.0,30,0,30,0,30,30,2022,,,
LIQH400104871,Liquor - hotel licence,1960-07-11 00:00:00,Current,1960-07-11 00:00:00,Trading,Crescent Tavern,81 The Crescent,FAIRFIELD,2165.0,-33.871665,150.956664,Fairfield,,Metropolitan,KEVIN GREEN,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Fairfield,Yes,3.0,18,12,30,0,30,30,2022,,,
LIQH400113625,Liquor - hotel licence,1960-07-06 00:00:00,Current,2021-06-28 00:00:00,Trading,Hampton Half-Way House Hotel,Jenolan Caves Rd,HAMPTON,2790.0,-33.639043,150.057954,Lithgow,,Country,Scott Loadsman,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Lithgow Region,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400120729,Liquor - hotel licence,1960-07-06 00:00:00,Current,1960-07-06 00:00:00,Trading,Commercial Hotel,Wynyard & Russell Sts,TUMUT,2720.0,-35.301559,148.222415,Snowy Valleys,,Country,PELAN PTY. LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Tumut,Yes,3.0,15,0,15,0,15,15,2022,,,
LIQH400111061,Liquor - hotel licence,1960-06-30 00:00:00,Current,1960-06-30 00:00:00,Trading,Man From Snowy River Hotel,Kosciusko State Park,PERISHER VALLEY,2624.0,-36.40592,148.412485,Snowy Monaro Regional,,Country,Mark Mooney,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Jindabyne - Berridale,No,1.0,0,0,0,0,0,0,2022,,,
LIQH400121164,Liquor - hotel licence,1960-06-30 00:00:00,Current,2017-06-28 00:00:00,Trading,Romano's Hotel,81 Fitzmaurice St,WAGGA WAGGA,2650.0,-35.105475,147.370125,Wagga Wagga,,Country,ACE HOTEL WAGGA PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Wagga Wagga - West,Yes,3.0,15,0,15,0,15,15,2022,,,
LIQH400103727,Liquor - hotel licence,1960-06-29 00:00:00,Current,1960-06-29 00:00:00,Trading,The Marayong Hotel,6 Cobham St,KINGS PARK,2148.0,-33.745843,150.90093,Blacktown,,Metropolitan,Tina Chambers,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Blacktown (East) - Kings Park,No,2.0,26,2,28,0,28,28,2022,,,
LIQH400103255,Liquor - hotel licence,1960-06-27 00:00:00,Current,2022-10-29 00:00:00,Trading,Wonderland,20-26 Bayswater Rd,POTTS POINT,2011.0,-33.874811,151.223886,Sydney,Kings Cross Precinct,Metropolitan,WORLD BAR SYDNEY PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Potts Point - Woolloomooloo,No,1.0,0,0,0,0,0,0,2022,,,
LIQH400120281,Liquor - hotel licence,1960-06-27 00:00:00,Current,1960-06-27 00:00:00,Trading,Peel Inn Hotel,Jenkins St,NUNDLE,2340.0,-31.460844,151.127679,Tamworth Regional,,Country,Robert Schofield,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Tamworth Region,No,1.0,3,0,3,0,3,3,2022,,,
LIQH400109911,Liquor - hotel licence,1960-06-24 00:00:00,Current,1960-06-24 00:00:00,Trading,Terrigal Beach House,Terrigal Esp,TERRIGAL,2260.0,-33.447525,151.444746,Central Coast,,Metropolitan,Terrigal Pacific Tavern Pty Limited,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,No,Terrigal - North Avoca,No,1.0,21,0,21,0,21,21,2022,,,
LIQH400110014,Liquor - hotel licence,1960-06-24 00:00:00,Current,1960-06-24 00:00:00,Trading,Terrigal Hotel,176 Terrigal Dr,TERRIGAL,2260.0,-33.441728,151.439789,Central Coast,,Metropolitan,Ian Corke,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Terrigal - North Avoca,No,1.0,26,0,26,0,26,26,2022,,,
LIQH400113862,Liquor - hotel licence,1960-06-22 00:00:00,Current,2018-07-21 00:00:00,Trading,Club House Hotel,147 High St,HILLSTON,2675.0,-33.484099,145.532591,Carrathool,,Country,MCKENZIE'S CLUB HOUSE HOTEL PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Griffith Region,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400122039,Liquor - hotel licence,1960-06-21 00:00:00,Current,1960-06-21 00:00:00,Trading,Berkeley Hotel,7 Devon St,BERKELEY,2506.0,-34.480864,150.845589,Wollongong,,Metropolitan,Christopher Scaddan,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Berkeley - Lake Heights - Cringila,Yes,3.0,29,1,30,0,30,30,2022,,,
LIQH400102909,Liquor - hotel licence,1960-06-20 00:00:00,Current,1960-06-20 00:00:00,Trading,New Hampton Hotel,9-11 Bayswater Rd,POTTS POINT,2011.0,-33.875286,151.22309,Sydney,Kings Cross Precinct,Metropolitan,Peter Tate,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Potts Point - Woolloomooloo,No,1.0,26,0,26,0,26,26,2022,,,
LIQH400103379,Liquor - hotel licence,1960-06-20 00:00:00,Current,1960-06-20 00:00:00,Trading,Lansdowne Hotel,2-6 City Rd,CHIPPENDALE,2008.0,-33.884795,151.195022,Sydney,,Metropolitan,Timothy Keown,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Redfern - Chippendale,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400105738,Liquor - hotel licence,1960-06-20 00:00:00,Current,1960-06-20 00:00:00,Trading,Stardust Hotel,84 Broomfield St,CABRAMATTA,2166.0,-33.894626,150.939831,Fairfield,,Metropolitan,Phillip Visalli,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Cabramatta - Lansvale,Yes,3.0,20,9,29,0,29,29,2022,,,
LIQH400106408,Liquor - hotel licence,1960-06-20 00:00:00,Current,2021-07-07 00:00:00,Trading,Bristol Arms Retro Tavern,81 Sussex St,SYDNEY,2000.0,-33.867807,151.203231,Sydney,Sydney CBD Precinct,Metropolitan,James Setter,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,12,4,16,0,16,0,2022,,,
LIQH400109113,Liquor - hotel licence,1960-06-16 00:00:00,Current,1960-06-16 00:00:00,Trading,Coffs Harbour Hotel,135 West High St,COFFS HARBOUR,2450.0,-30.2959,153.1139,Coffs Harbour,,Country,CH HOTEL PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Coffs Harbour - South,Yes,3.0,15,0,15,0,15,15,2022,,,
LIQH400108044,Liquor - hotel licence,1960-06-10 00:00:00,Current,1960-06-10 00:00:00,Trading,Astor Hotel Motel,Cnr Guinea & Young Sts,ALBURY,2640.0,-36.074879,146.92506,Albury,,Country,Brendon Cooper,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Albury - South,No,2.0,29,0,29,0,29,29,2022,,,
LIQH400115970,Liquor - hotel licence,1960-06-09 00:00:00,Current,2021-06-28 00:00:00,Trading,Post Office Hotel,33 Frome St,MOREE,2400.0,-29.463976,149.842638,Moree Plains,,Country,Elise Harper,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Moree,Yes,3.0,9,0,9,0,9,9,2022,,,
LIQH400105878,Liquor - hotel licence,1960-06-06 00:00:00,Current,1960-06-06 00:00:00,Trading,SHANGRI-LA SYDNEY,Essex & Gloucester Sts,THE ROCKS,2000.0,-33.861378,151.206398,Sydney,Sydney CBD Precinct,Metropolitan,PHILIPPE KRONBERG,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400105916,Liquor - hotel licence,1960-06-06 00:00:00,Current,2018-06-28 00:00:00,Trading,Royal Crest Sylvania,Port Hacking Rd & Princes Hwy,SYLVANIA,2224.0,-34.008779,151.104511,Sutherland Shire,,Metropolitan,WARATAH HOTEL MANAGEMENT PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sylvania - Taren Point,No,1.0,30,0,30,0,30,30,2022,,,
LIQH400114974,Liquor - hotel licence,1960-06-06 00:00:00,Current,1960-06-06 00:00:00,Trading,Bank Hotel,72-76 Melbourne St,EAST MAITLAND,2323.0,-32.745779,151.583417,Maitland,,Country,Corey Hinton,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Maitland - East,No,2.0,23,0,23,7,30,21,2022,,,
LIQH400110103,Liquor - hotel licence,1960-06-02 00:00:00,Current,1960-06-02 00:00:00,Trading,The Radisson Blu Plaza Hotel Sydney,27 O'Connell St,SYDNEY,2000.0,-33.865365,151.208959,Sydney,Sydney CBD Precinct,Metropolitan,Peter Tudehope,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400118643,Liquor - hotel licence,1960-05-26 00:00:00,Current,1960-05-26 00:00:00,Trading,Grey Gums Hotel,Blaikie & Mulgoa Rds,JAMISONTOWN,2750.0,-33.769327,150.674874,Penrith,,Metropolitan,Sean Pittaway,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Jamisontown - South Penrith,No,2.0,15,15,30,0,30,30,2022,,,
LIQH400104413,Liquor - hotel licence,1960-05-25 00:00:00,Current,1960-05-25 00:00:00,Trading,Orient Hotel,89 George St,THE ROCKS,2000.0,-33.859062,151.208625,Sydney,Sydney CBD Precinct,Metropolitan,Craig Wesker,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,15,0,15,0,15,15,2022,,,
LIQH400105665,Liquor - hotel licence,1960-05-25 00:00:00,Current,1960-05-25 00:00:00,Trading,Strawberry Hills Hotel,453 Elizabeth St,SURRY HILLS,2010.0,-33.8865,151.208027,Sydney,,Metropolitan,Richard Waddell,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Surry Hills,No,2.0,23,3,26,0,26,26,2022,,,
LIQH400121229,Liquor - hotel licence,1960-05-25 00:00:00,Current,1960-05-25 00:00:00,Trading,Turvey Park Hotel,71 Bolger Ave,MOUNT AUSTIN,2650.0,-35.133392,147.356979,Wagga Wagga,,Country,MARK HOGAN,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Wagga Wagga - South,No,2.0,30,0,30,0,30,30,2022,,,
LIQH400100566,Liquor - hotel licence,1960-05-23 00:00:00,Current,1960-05-23 00:00:00,Trading,Bexley North Hotel,Slade & Bexley Rds,BEXLEY NORTH,2207.0,-33.938126,151.115229,Bayside,,Metropolitan,TUNBORN PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Reduced trad",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Kingsgrove (South) - Bardwell Park,No,2.0,15,15,30,0,30,30,2022,,,
LIQH400100876,Liquor - hotel licence,1960-05-23 00:00:00,Current,1960-05-23 00:00:00,Trading,Bull And Bush Inn Hotel,378 Windsor Rd,BAULKHAM HILLS,2153.0,-33.761562,150.991852,The Hills Shire,,Metropolitan,Anthony El Khoury,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Baulkham Hills (East),No,1.0,16,14,30,0,30,30,2022,,,
LIQH400102755,Liquor - hotel licence,1960-05-23 00:00:00,Current,1960-05-23 00:00:00,Trading,Greenacre Hotel,166 Waterloo Rd,GREENACRE,2190.0,-33.907156,151.057044,Canterbury-Bankstown,,Metropolitan,James Robins,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Greenacre - Mount Lewis,Yes,3.0,19,11,30,0,30,30,2022,,,
LIQH400102984,Liquor - hotel licence,1960-05-23 00:00:00,Current,1960-05-23 00:00:00,Trading,The Corner Pub,1/214-220 Macquarie St,LIVERPOOL,2170.0,-33.922792,150.923958,Liverpool,,Metropolitan,Leigh Sienkiewicz,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Liverpool,Yes,3.0,15,7,22,0,22,22,2022,,,
