,Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs
15310,LIQH400106424,Liquor - hotel licence,1966-12-12 00:00:00,Current,1966-12-12 00:00:00,Trading,The Flynn,61-101 Phillip St,SYDNEY,2000.0,-33.865373,151.210812,Sydney,Sydney CBD Precinct,Metropolitan,WALL STREET BAR PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,15,0,15,0,15,15
15474,LIQH400120923,Liquor - hotel licence,1962-07-18 00:00:00,Current,2022-01-13 00:00:00,Trading,Wahlburgers,East Circular Quay Shops 17 & 18,SYDNEY,2000.0,-33.860361,151.21294,Sydney,Sydney CBD Precinct,Metropolitan,WB OPERATIONS PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
15744,LIQH400104057,Liquor - hotel licence,1960-08-08 00:00:00,Current,1960-08-08 00:00:00,Trading,Sheraton Grand Sydney Hyde Park,161 Elizabeth St,SYDNEY,2000.0,-33.871587,151.209721,Sydney,Sydney CBD Precinct,Metropolitan,Krister Svensson,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
15746,LIQH400102038,Liquor - hotel licence,1960-08-03 00:00:00,Current,1960-08-03 00:00:00,Trading,The Arthouse Hotel,275 Pitt St,SYDNEY,2000.0,-33.872308,151.207591,Sydney,Sydney CBD Precinct,Metropolitan,Brian Sarkis,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,21,0,21,0,21,21
15804,LIQH400106408,Liquor - hotel licence,1960-06-20 00:00:00,Current,2021-07-07 00:00:00,Trading,Bristol Arms Retro Tavern,81 Sussex St,SYDNEY,2000.0,-33.867807,151.203231,Sydney,Sydney CBD Precinct,Metropolitan,James Setter,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,12,4,16,0,16,0
15826,LIQH400110103,Liquor - hotel licence,1960-06-02 00:00:00,Current,1960-06-02 00:00:00,Trading,The Radisson Blu Plaza Hotel Sydney,27 O'Connell St,SYDNEY,2000.0,-33.865365,151.208959,Sydney,Sydney CBD Precinct,Metropolitan,Peter Tudehope,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
15869,LIQH400101767,Liquor - hotel licence,1960-05-02 00:00:00,Current,1960-05-02 00:00:00,Trading,Sydney Harbour Marriott,30 Pitt St,SYDNEY,2000.0,-33.862897,151.209509,Sydney,Sydney CBD Precinct,Metropolitan,Bernhard Langer,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
15898,LIQH400108818,Liquor - hotel licence,1960-04-11 00:00:00,Current,1960-04-11 00:00:00,Trading,Home Nightclub,"Cockle Bay Wharf, Tenancy 101 1 Wheat Rd",SYDNEY,2000.0,-33.869534,151.202069,Sydney,Sydney CBD Precinct,Metropolitan,BIG BEAT (AUSTRALIA) PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
15901,LIQH400103832,Liquor - hotel licence,1960-04-07 00:00:00,Current,2017-07-07 00:00:00,Trading,Shell House,14 Carrington St,SYDNEY,2000.0,-33.865346,151.206679,Sydney,Sydney CBD Precinct,Metropolitan,Andrew Condon,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
15902,LIQH400104049,Liquor - hotel licence,1960-04-07 00:00:00,Current,1960-04-07 00:00:00,Trading,Bar Lucca,52 Phillip St,SYDNEY,2000.0,-33.864093,151.21204,Sydney,Sydney CBD Precinct,Metropolitan,Andrew Martin,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,1,0,1,0,1,0
15909,LIQH400110480,Liquor - hotel licence,1960-04-01 00:00:00,Current,1960-04-01 00:00:00,Trading,Sanctuary Hotel,545-553 Kent St,SYDNEY,2000.0,-33.875991,151.205242,Sydney,Sydney CBD Precinct,Metropolitan,Jason Dumbrell,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,15,15,30,0,30,30
15930,LIQH400101252,Liquor - hotel licence,1960-03-14 00:00:00,Current,2022-10-28 00:00:00,Trading,Kent St. Hotel,347 Kent St,SYDNEY,2000.0,-33.868497,151.204148,Sydney,Sydney CBD Precinct,Metropolitan,NETTLEWOOD MANAGEMENT PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,18,0,18,0,18,18
15993,LIQH400101864,Liquor - hotel licence,1960-01-20 00:00:00,Current,1960-01-20 00:00:00,Trading,Mr B's Hotel,396 Pitt St,SYDNEY,2000.0,-33.878336,151.207676,Sydney,Sydney CBD Precinct,Metropolitan,Thapanon Wachiranon,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,30,0,30,0,30,30
16046,LIQH400101686,Liquor - hotel licence,1959-11-27 00:00:00,Current,1959-11-27 00:00:00,Trading,Crown Hotel,160 Elizabeth St,SYDNEY,2000.0,-33.878226,151.209521,Sydney,Sydney CBD Precinct,Metropolitan,Edward Briscoe,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,0,15,0,15,15
16051,LIQH400104359,Liquor - hotel licence,1959-11-23 00:00:00,Current,1959-11-23 00:00:00,Trading,Occidental Hotel,43 York St,SYDNEY,2000.0,-33.866801,151.205573,Sydney,Sydney CBD Precinct,Metropolitan,Delfina Moscoso,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,10,0,10,0,10,10
16096,LIQH400105746,Liquor - hotel licence,1959-10-26 00:00:00,Current,1959-10-26 00:00:00,Trading,Star Hotel,Cnr Sussex & Goulburn Sts,SYDNEY,2000.0,-33.877737,151.204493,Sydney,Sydney CBD Precinct,Metropolitan,Yunke Bai,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,18,12,30,0,30,30
16103,LIQH400103093,Liquor - hotel licence,1959-10-21 00:00:00,Current,1959-10-21 00:00:00,Trading,Cheers Bar and Grill,561 George St,SYDNEY,2000.0,-33.87662,151.205793,Sydney,Sydney CBD Precinct,Metropolitan,Ji Hey Son,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,24,6,30,0,30,30
16111,LIQH400102631,Liquor - hotel licence,1959-10-14 00:00:00,Current,1959-10-14 00:00:00,Trading,"Park Royal Darling Harbour, Sydney",150 Day St,SYDNEY,2000.0,-33.873632,151.203596,Sydney,Sydney CBD Precinct,Metropolitan,Vasilikie Stasous,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16115,LIQH400103441,Liquor - hotel licence,1959-10-12 00:00:00,Current,1959-10-12 00:00:00,Trading,Plaza Hotel Sydney,600 George St,SYDNEY,2000.0,-33.875422,151.206967,Sydney,Sydney CBD Precinct,Metropolitan,Venessa Gale,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,16,10,26,0,26,0
16129,LIQH400103654,Liquor - hotel licence,1959-09-28 00:00:00,Current,1959-09-28 00:00:00,Trading,Hotel Harry,Wentworth Ave & Goulburn St,SYDNEY,2000.0,-33.878509,151.211203,Sydney,Sydney CBD Precinct,Metropolitan,Iain Taylor,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Surry Hills,No,2,25,0,25,0,25,25
16168,LIQH400102674,Liquor - hotel licence,1959-08-27 00:00:00,Current,1959-08-27 00:00:00,Trading,Sir Stamford at Circular Quay,93-97 Macquarie St,SYDNEY,2000.0,-33.862228,151.212677,Sydney,Sydney CBD Precinct,Metropolitan,Stamford Hotels and Resorts Pty Ltd,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16207,LIQH400118074,Liquor - hotel licence,1959-07-28 00:00:00,Current,1959-07-28 00:00:00,Trading,The Grace Hotel,77 York St,SYDNEY,2000.0,-33.868999,151.205681,Sydney,Sydney CBD Precinct,Metropolitan,Andrew Allen,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16257,LIQH400115733,Liquor - hotel licence,1959-06-18 00:00:00,Current,2019-06-27 00:00:00,Trading,Cargo Bar,King St Wharf 52-60 The Promenade,SYDNEY,2000.0,-33.868625,151.201644,Sydney,Sydney CBD Precinct,Metropolitan,Pierce Sapsford,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16275,LIQH400100604,Liquor - hotel licence,1959-06-08 00:00:00,Current,1959-06-08 00:00:00,Trading,Hotel Downing,249-255 Castlereagh Street,SYDNEY,2000.0,-33.876438,151.208623,Sydney,Sydney CBD Precinct,Metropolitan,Peter Dissegna,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,22,0,22,0,22,22
16326,LIQH400104855,Liquor - hotel licence,1959-04-20 00:00:00,Current,1959-04-20 00:00:00,Trading,The Office Hotel,Cnr Kent & Erskine St,SYDNEY,2000.0,-33.866626,151.204494,Sydney,Sydney CBD Precinct,Metropolitan,Cameron McGee,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,20,0,20,0,20,20
16333,LIQH400106246,Liquor - hotel licence,1959-04-13 00:00:00,Current,1959-04-13 00:00:00,Trading,The Verandah Bar & Bistro,60 Castlereagh St,SYDNEY,2000.0,-33.868474,151.210095,Sydney,Sydney CBD Precinct,Metropolitan,The New Windsor Hotel Pty Limited,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,20,4,24,0,24,24
16338,LIQH400101562,Liquor - hotel licence,1959-04-06 00:00:00,Current,1959-04-06 00:00:00,Trading,Slip Inn,107-117 Sussex St,SYDNEY,2000.0,-33.868199,151.203322,Sydney,Sydney CBD Precinct,Metropolitan,Christopher Dempsey,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,12,0,12,0,12,12
16358,LIQH400113595,Liquor - hotel licence,1959-03-10 00:00:00,Current,1959-03-10 00:00:00,Trading,Ship Inn,Pitt & Alfred Sts,SYDNEY,2000.0,-33.861778,151.20943,Sydney,Sydney CBD Precinct,Metropolitan,Julia Kearns,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,5,20,0,20,20
16409,LIQH400101112,Liquor - hotel licence,1959-01-05 00:00:00,Current,1959-01-05 00:00:00,Trading,Helm Bar,"Aquarium Wharf, Pier 26 Wheat Rd",SYDNEY,2000.0,-33.87057,151.202637,Sydney,Sydney CBD Precinct,Metropolitan,Daniel Altshuler,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16496,LIQH400103859,Liquor - hotel licence,1958-10-15 00:00:00,Current,2018-12-07 00:00:00,Trading,Bungalow 8 Hotel,King Street Wharf 3 Lime St,SYDNEY,2000.0,-33.866401,151.201545,Sydney,Sydney CBD Precinct,Metropolitan,Edward Hepworth,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16516,LIQH400116152,Liquor - hotel licence,1958-09-18 00:00:00,Current,1958-09-18 00:00:00,Trading,Intercontinental Sydney,117 Macquarie St,SYDNEY,2000.0,-33.862953,151.2124,Sydney,Sydney CBD Precinct,Metropolitan,Jennifer Brown,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16525,LIQH400104693,Liquor - hotel licence,1958-09-08 00:00:00,Current,1958-09-08 00:00:00,Trading,Frankies Pizza By The Slice,50-58 Hunter St,SYDNEY,2000.0,-33.8659,151.209637,Sydney,Sydney CBD Precinct,Metropolitan,SMART & MAZZOCCA PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16540,LIQH400105614,Liquor - hotel licence,1958-08-18 00:00:00,Current,1958-08-18 00:00:00,Trading,The Resch House,557 George St,SYDNEY,2000.0,-33.876483,151.205867,Sydney,Sydney CBD Precinct,Metropolitan,OSPITALITY PTY LTD,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,8,0,8,0,8,8
16571,LIQH400103271,Liquor - hotel licence,1958-07-14 00:00:00,Current,2022-11-04 00:00:00,Trading,Concourse Bar,Concourse Level Wynyard 33-35A Carrington St,SYDNEY,2000.0,-33.86614,151.205582,Sydney,Sydney CBD Precinct,Metropolitan,Jodie Gregory,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,29,0,29,0,29,29
16581,LIQH400106653,Liquor - hotel licence,1958-06-23 00:00:00,Current,1958-06-23 00:00:00,Trading,Wynyard Hotel,107-109 Clarence St,SYDNEY,2000.0,-33.866858,151.204866,Sydney,Sydney CBD Precinct,Metropolitan,Nathan Ferguson,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,19,0,19,0,19,19
16600,LIQH400101120,Liquor - hotel licence,1958-06-02 00:00:00,Current,2022-10-05 00:00:00,Trading,St James Hotel,B 114 Castlereagh St,SYDNEY,2000.0,-33.871071,151.209718,Sydney,Sydney CBD Precinct,Metropolitan,Antonina Kelekolio,Full hotel,"Extended trading authorisation,Reduced trading hours,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16676,LIQH400100035,Liquor - hotel licence,1958-02-24 00:00:00,Current,1958-02-24 00:00:00,Trading,Sydney Hilton Hotel,488 George St,SYDNEY,2000.0,-33.871914,151.207469,Sydney,Sydney CBD Precinct,Metropolitan,MARBLE OPERATIONS PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16711,LIQH400102399,Liquor - hotel licence,1957-12-23 00:00:00,Current,1957-12-23 00:00:00,Trading,Hotel Sweeney's,Druitt & Clarence Sts,SYDNEY,2000.0,-33.872602,151.205852,Sydney,Sydney CBD Precinct,Metropolitan,Peter Anstey,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,16,0,16,0,16,16
16845,LIQH400104812,Liquor - hotel licence,1957-07-01 00:00:00,Current,1957-07-01 00:00:00,Trading,Novotel Sydney on Darling Harbour,100 Murray St,SYDNEY,2000.0,-33.872242,151.197861,Sydney,,Metropolitan,PEARL HOTELS D 1993 PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
16889,LIQH400106688,Liquor - hotel licence,1957-05-06 00:00:00,Current,1957-05-06 00:00:00,Trading,Artwork in Progress,46-52 King St,SYDNEY,2000.0,-33.868557,151.205644,Sydney,Sydney CBD Precinct,Metropolitan,John Thomas,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,24,6,30,0,30,30
16905,LIQH400101619,Liquor - hotel licence,1957-04-08 00:00:00,Current,1957-04-08 00:00:00,Trading,Criterion Hotel,260 Pitt St,SYDNEY,2000.0,-33.873336,151.208368,Sydney,Sydney CBD Precinct,Metropolitan,Eleanor Waddington,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,29,1,30,0,30,30
16934,LIQH400102011,Liquor - hotel licence,1957-03-04 00:00:00,Current,1957-03-04 00:00:00,Trading,Edinburgh Castle Hotel,294 Pitt St,SYDNEY,2000.0,-33.874694,151.208174,Sydney,Sydney CBD Precinct,Metropolitan,Luke Daniel Rule,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,5,20,0,20,20
16993,LIQH400101406,Liquor - hotel licence,1956-11-19 00:00:00,Current,1956-11-19 00:00:00,Trading,Four Seasons Hotel,199 George St,SYDNEY,2000.0,-33.861691,151.207678,Sydney,Sydney CBD Precinct,Metropolitan,MAPS HOTELS AND RESORTS SYDNEY 1 PTY. LTD.,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
17230,LIQH400104138,Liquor - hotel licence,1955-11-26 00:00:00,Current,1955-11-26 00:00:00,Trading,The Sussex Hotel,20 Sussex St,SYDNEY,2000.0,-33.865155,151.203426,Sydney,Sydney CBD Precinct,Metropolitan,Nicholas Porter,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,0,15,0,15,15
17547,LIQH400100868,Liquor - hotel licence,1955-03-28 00:00:00,Current,1955-03-28 00:00:00,Trading,The Albion Place Hotel,531 George St,SYDNEY,2000.0,-33.875681,151.206154,Sydney,Sydney CBD Precinct,Metropolitan,RESERVE HOTELS PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,24,0,24,0,24,24
17559,LIQH400108613,Liquor - hotel licence,1955-02-25 00:00:00,Current,1955-02-25 00:00:00,Trading,Laughing Buddha Bar,"World Square Shopping Centre, L 8 & 9, 644 George St",SYDNEY,2000.0,-33.877769,151.206284,Sydney,Sydney CBD Precinct,Metropolitan,SONGSONG PTY LIMITED,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,22,8,30,0,30,27
